subhalo_id,grnr,halo_r200_kpc,mass_gas_1e10msun_h,mass_stars_1e10msun_h,pos_x_ckpc_h,pos_y_ckpc_h,pos_z_ckpc_h,halfmassrad_gas_ckpc_h,bcg_pos_x,bcg_pos_y,bcg_pos_z,cutout_url,sfr
1072,0,2198.3,0.155321,0.162338,174836.0,267245.0,451400.0,3.981,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1072/cutout.hdf5,0.1475
1110,0,2198.3,0.158792,0.097245,174960.0,261144.0,455606.0,4.034,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1110/cutout.hdf5,0.1176
1132,0,2198.3,0.0816,0.003224,173061.0,258560.0,454774.0,3.902,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1132/cutout.hdf5,0.0133
1161,0,2198.3,0.032687,0.003921,171995.0,266204.0,449512.0,3.908,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1161/cutout.hdf5,0.0
1167,0,2198.3,0.039136,0.002245,176012.0,264556.0,454326.0,3.523,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1167/cutout.hdf5,0.0
1195,0,2198.3,0.059044,0.032101,174636.0,259002.0,452655.0,4.858,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1195/cutout.hdf5,0.0
1201,0,2198.3,0.003717,0.005366,172143.0,258267.0,454256.0,4.044,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1201/cutout.hdf5,0.0
1281,0,2198.3,0.048917,0.036378,174664.0,262470.0,453685.0,2.959,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1281/cutout.hdf5,0.0407
1442,0,2198.3,0.085515,0.148529,177096.0,267322.0,450416.0,5.074,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1442/cutout.hdf5,0.023
1445,0,2198.3,0.010024,0.157687,174716.0,262449.0,453563.0,12.095,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/1445/cutout.hdf5,0.0
